Follower ID,Number_Tweets,Number_Followers,Type
2354486829,9466,411,Expert
19596053,2702,513,Expert
1290245184,163,35,Layman
3206943477,27370,389,Expert
790636114260307968,351,360,Expert
2373224725,66,40,Layman
788467373934309381,628,412,Expert
256325258,385,11,Layman
3161246856,65,28,Layman
458692188,963,90,Layman
54280376,1881,1931,Celebrity
3462304039,4780,290,Expert
2834461779,186,298,Expert
20830220,1403,1825,Celebrity
151900128,1291,742,Expert
426364268,1104,511,Expert
866681611,19176,708,Expert
1515251383,291,399,Expert
858340297,26,5,Layman
762798888189169664,813,805,Expert
87112954,65,24,Layman
762522566208532480,0,3,Layman
758733660065456131,0,11,Layman
1096834196,3484,2912,Celebrity
167867852,1288,1161,Celebrity
94346957,623,493,Expert
4921547105,3,9,Layman
753248135997194240,115,62,Layman
3342240045,0,7,Layman
182776102,2256,2178,Celebrity
263479789,1241,363,Expert
729046271051202560,2550,182,Expert
4786807754,9,18,Layman
18273988,11,496,Expert
3129927357,84,349,Expert
736200843989557248,362,281,Expert
4475525654,1,3,Layman
1967312552,461,425,Expert
2778723674,0,5,Layman
19405351,7869,5225,Celebrity
594157455,3761,729,Expert
4871448701,380,416,Expert
2955659069,1493,198,Expert
2731022486,297,150,Expert
703330396403007489,1,8,Layman
2612797260,816,212,Expert
3150600104,4451,568,Expert
42494684,371,311,Expert
2291384989,2861,477,Expert
3297833260,841,724,Expert
23447063,1512,1156,Celebrity
11353142,211,38,Layman
1151420900,1889,1587,Celebrity
108316522,2536,446,Expert
3735747258,6,9,Layman
42955564,1566,1318,Celebrity
25398973,928,618,Expert
5146581,125,42,Layman
1979372431,42,142,Expert
29128285,240,210,Expert
3406193625,62,1657,Celebrity
3319333686,7,54,Layman
174055060,103460,505,Expert
17650690,1249,478,Expert
2932897695,72,68,Layman
2239852081,444,313,Expert
1468214634,24,37,Layman
25158240,770,145,Expert
1360356614,7762,2542,Celebrity
2715268627,9681,1881,Celebrity
185285111,5503,2243,Celebrity
2371334376,3740,200,Expert
1944834290,1,77,Layman
1704646470,81357,25860,Celebrity
3192411776,1149,733,Expert
103956704,4427,1527,Celebrity
3034908524,16,31,Layman
